,fuel,test_year,age,y_mean,y_lower,y_upper,n
243,car_diesel,2016,8,15261.57820893953,15234.683728041095,15288.472689837967,161664
244,car_diesel,2016,9,14799.727490667801,14769.728501443597,14829.726479892006,155376
245,car_diesel,2016,10,14139.851954598007,14109.048386885845,14170.65552231017,142725
246,car_diesel,2016,11,13650.941654824663,13614.788088669084,13687.095220980242,126527
247,car_diesel,2016,12,13083.017607925214,13043.035841195318,13122.99937465511,107505
248,car_diesel,2016,13,12612.383290546402,12571.307131826212,12653.459449266593,80710
249,car_diesel,2016,14,12085.427667757593,12048.557139440609,12122.298196074576,89832
250,car_diesel,2016,15,11451.83965271629,11398.158557642719,11505.52074778986,50823
251,car_diesel,2016,16,10824.01892368421,10717.802877922042,10930.23496944638,26600
252,car_diesel,2016,17,10142.14474549536,10078.410741452872,10205.878749537847,16483
253,car_diesel,2016,18,9324.866350644825,9256.344419819527,9393.388281470123,11476
254,car_diesel,2016,19,8920.956080377078,8704.473642306573,9137.438518447583,8062
255,car_diesel,2016,20,8214.429479553903,8122.876647085297,8305.982312022508,5918
256,car_diesel,2016,21,8335.146433473545,8206.113120191505,8464.179746755584,4517
257,car_diesel,2016,22,7678.0135850746265,7553.450401041341,7802.576769107912,3350
258,car_diesel,2017,3,19232.494750024853,19207.696931409406,19257.2925686403,211281
259,car_diesel,2017,4,17502.766194613898,17472.891029242273,17532.641359985522,168025
260,car_diesel,2017,5,16986.12268708323,16957.23469893423,17015.010675232228,161960
261,car_diesel,2017,6,16417.93726006876,16389.602730017396,16446.271790120125,156201
262,car_diesel,2017,7,15690.34785776236,15662.894474546032,15717.801240978686,151043
263,car_diesel,2017,8,15036.39786353128,15009.075318880668,15063.72040818189,141439
264,car_diesel,2017,9,14561.632928956258,14532.742554730277,14590.523303182239,135311
265,car_diesel,2017,10,14190.19531895443,14157.889923905503,14222.500714003356,129078
266,car_diesel,2017,11,13575.958699165867,13536.562121224079,13615.355277107656,115449
267,car_diesel,2017,12,13038.54392127509,13006.459978916773,13070.627863633406,100197
268,car_diesel,2017,13,12497.382665376752,12460.76374062202,12534.001590131484,82176
269,car_diesel,2017,14,11979.992511405604,11932.653863418049,12027.33115939316,59839
270,car_diesel,2017,15,11467.994880032855,11422.329967236836,11513.659792828874,63309
271,car_diesel,2017,16,10808.837720310441,10746.339844427512,10871.33559619337,34145
272,car_diesel,2017,17,10051.503441376552,9988.64043416503,10114.366448588073,17493
273,car_diesel,2017,18,9641.767661934757,9500.125410258988,9783.409913610525,10637
274,car_diesel,2017,19,8668.384325310979,8583.393909626062,8753.374740995896,7396
275,car_diesel,2017,20,8052.106131098136,7957.075964536188,8147.136297660084,5309
276,car_diesel,2017,21,7843.476766032064,7733.143540828244,7953.809991235884,3992
277,car_diesel,2017,22,8012.6447474747465,7855.251356758391,8170.038138191102,3069
278,car_diesel,2017,23,7298.916075949368,7145.164018169917,7452.668133728819,2212
279,car_diesel,2018,3,18883.642213892075,18859.433153326918,18907.851274457233,214482
280,car_diesel,2018,4,17077.76621644825,17051.973196633597,17103.559236262903,198015
281,car_diesel,2018,5,16495.44779734672,16470.129153568785,16520.76644112465,191687
282,car_diesel,2018,6,16060.98958872476,16036.076099949625,16085.903077499896,184475
283,car_diesel,2018,7,15506.012796852929,15480.693376482355,15531.332217223502,176291
284,car_diesel,2018,8,14800.042398303342,14776.41792358158,14823.666873025102,169745
285,car_diesel,2018,9,14201.773365504081,14175.547845390034,14227.998885618128,156146
286,car_diesel,2018,10,13777.098302120565,13750.29311436087,13803.90348988026,146895
287,car_diesel,2018,11,13395.040152258503,13366.605173160724,13423.475131356283,135953
288,car_diesel,2018,12,12776.97819201271,12750.064169422265,12803.892214603155,117086
289,car_diesel,2018,13,12344.607696626326,12307.6351362683,12381.580256984353,97253
290,car_diesel,2018,14,11747.912673566816,11711.350621145612,11784.47472598802,76037
291,car_diesel,2018,15,11250.099798322795,11202.160944410578,11298.038652235013,53303
292,car_diesel,2018,16,10774.132725734158,10720.438288733787,10827.82716273453,53769
