,fuel,reg_year,test_year,y_mean,y_lower,y_upper,n
108,car_bev,2019,2022,40134.99724822695,39995.38608640882,40274.60841004508,32430
109,car_bev,2019,2023,53213.928831529374,53028.47933065184,53399.37833240691,28456
110,car_bev,2020,2023,42106.23538998119,42021.62865167065,42190.84212829173,90889
111,car_diesel,2010,2013,62022.28203196257,61937.86587130036,62106.698192624775,176081
112,car_diesel,2010,2014,79405.58191466502,79302.63987209677,79508.52395723326,167528
113,car_diesel,2010,2015,95611.4841577548,95495.37497441766,95727.59334109195,164014
114,car_diesel,2010,2016,111161.3813701638,111032.03155392379,111290.7311864038,159397
115,car_diesel,2010,2017,126265.95138876345,126116.7289731522,126415.1738043747,139527
116,car_diesel,2010,2018,139089.74677908808,138939.7551357513,139239.73842242485,151454
117,car_diesel,2010,2019,151276.01459521867,151117.32591368936,151434.70327674798,145523
118,car_diesel,2010,2020,160832.95677949252,160663.1841898611,161002.72936912396,132771
119,car_diesel,2010,2021,169404.32020956205,169234.61662004088,169574.02379908322,135473
120,car_diesel,2010,2022,178378.1424233785,178201.3454772132,178554.9393695438,129076
121,car_diesel,2010,2023,185811.40515094518,185615.64141843116,186007.1688834592,107390
122,car_diesel,2011,2014,63169.079363832636,63084.20735728621,63253.951370379065,179261
123,car_diesel,2011,2015,80612.64843691149,80510.14147482294,80715.15539900004,170982
124,car_diesel,2011,2016,96610.44133312762,96494.4961868508,96726.38647940443,165273
125,car_diesel,2011,2017,112481.53427349124,112344.86701094653,112618.20153603595,144341
126,car_diesel,2011,2018,126400.25252257506,126260.76938690993,126539.73565824018,157807
127,car_diesel,2011,2019,139404.67380176237,139255.38387388253,139553.96372964222,152524
128,car_diesel,2011,2020,149659.9711635771,149500.10482906885,149819.83749808537,139879
129,car_diesel,2011,2021,159320.59559631062,159159.12088438487,159482.07030823638,144740
130,car_diesel,2011,2022,169140.2603952708,168972.7553579827,169307.7654325589,139727
131,car_diesel,2011,2023,177573.18879270513,177387.72061407694,177758.65697133332,118604
132,car_diesel,2012,2015,60959.44025191604,60878.55499292205,61040.325510910036,182799
133,car_diesel,2012,2016,78091.0421874028,77993.48595440073,78188.59842040486,173626
134,car_diesel,2012,2017,94164.99739832486,94046.21142456558,94283.78337208414,148881
135,car_diesel,2012,2018,108907.4714233413,108783.66367190535,109031.27917477724,164704
136,car_diesel,2012,2019,123010.20200981127,122874.32582223533,123146.0781973872,159816
137,car_diesel,2012,2020,134213.82810176868,134066.53948236612,134361.11672117125,148022
138,car_diesel,2012,2021,144295.58457888037,144145.7298529029,144445.43930485783,153175
139,car_diesel,2012,2022,155157.63109001963,155001.67658279452,155313.58559724473,150034
140,car_diesel,2012,2023,164480.2062468617,164308.6684949005,164651.74399882287,129846
141,car_diesel,2013,2016,58869.08465273348,58792.108190844425,58946.061114622535,186557
142,car_diesel,2013,2017,75635.44561394982,75535.35554965104,75735.5356782486,154296
143,car_diesel,2013,2018,90717.55278544384,90611.52194950171,90823.58362138597,171391
144,car_diesel,2013,2019,105536.5856988803,105417.89162180974,105655.27977595085,166917
145,car_diesel,2013,2020,117660.91905368479,117530.11440199193,117791.72370537765,155910
146,car_diesel,2013,2021,128462.20961922545,128326.25615393299,128598.16308451792,161224
147,car_diesel,2013,2022,140278.95667999494,140135.02526998162,140422.88809000826,158810
148,car_diesel,2013,2023,150725.77384400196,150566.8979059822,150884.64978202173,139771
149,car_diesel,2014,2017,58132.87905734965,58057.00467263323,58208.753442066074,188458
150,car_diesel,2014,2018,74231.67064450047,74139.46711441746,74323.87417458347,177688
151,car_diesel,2014,2019,89398.16067825301,89293.01470809628,89503.30664840975,172502
152,car_diesel,2014,2020,102409.12908772711,102290.94099638157,102527.31717907265,161706
153,car_diesel,2014,2021,113772.5163219086,113647.67139227124,113897.36125154595,167035
154,car_diesel,2014,2022,126235.45592056031,126101.85845908937,126369.05338203126,164905
155,car_diesel,2014,2023,137581.41180389278,137431.64619921354,137731.17740857202,147093
156,car_diesel,2015,2018,57472.30765657755,57397.41683564521,57547.19847750989,190337
157,car_diesel,2015,2019,73813.25318701907,73720.88281226279,73905.62356177536,179864
158,car_diesel,2015,2020,87112.88736472238,87005.9327299183,87219.84199952646,166916
159,car_diesel,2015,2021,99124.9240618422,99010.16572379129,99239.68239989312,172924
160,car_diesel,2015,2022,112436.73303011165,112311.02107114745,112562.44498907584,170997
161,car_diesel,2015,2023,124736.94753370703,124594.98826106984,124878.90680634422,153603
162,car_diesel,2016,2019,55875.28679914403,55802.593826209864,55947.97977207819,191127
163,car_diesel,2016,2020,70212.92893749604,70122.67776485205,70303.18011014002,173157
