,fuel,test_year,age,y_mean,y_lower,y_upper,n
109,car_hev,2024,7,105345.37741493087,105000.05362895041,105690.70120091134,46521
110,car_hev,2024,8,125870.90468648319,125422.88902655675,126318.92034640964,40875
111,car_hev,2024,9,146373.30937823988,145811.56811643115,146935.0506400486,33952
112,car_hev,2024,10,160771.36645812474,160081.38017541388,161461.3527408356,24967
113,car_hev,2024,11,164465.41727038237,163742.64886643045,165188.1856743343,19772
114,car_hev,2024,12,182902.39021190457,181878.75362617266,183926.02679763647,11609
115,car_hev,2024,13,213820.13016556294,212375.73841785578,215264.5219132701,6946
116,car_hev,2024,14,234922.140776807,233346.88824385477,236497.39330975924,6295
117,car_hev,2024,15,238350.12154402595,236476.23940541674,240224.00368263517,4009
118,car_hev,2024,16,229348.2075922819,227750.40102808026,230946.01415648352,3576
119,car_hev,2024,17,234220.9823153253,232673.982143899,235767.9824867516,3628
120,car_bev,2015,3,26224.770561797755,25657.186871674654,26792.354251920857,623
121,car_bev,2016,3,36730.08487216947,36162.05686810233,37298.11287623661,1369
122,car_bev,2016,4,35866.133582887705,35067.46908041711,36664.7980853583,561
123,car_bev,2017,3,36027.49770273542,35694.60061102504,36360.3947944458,4131
124,car_bev,2017,4,47852.826407766996,47047.549057097545,48658.103758436446,1030
125,car_bev,2017,5,45616.30237687366,44625.48931068333,46607.11544306399,467
126,car_bev,2018,3,36771.78286333147,36498.77333775391,37044.79238890903,7156
127,car_bev,2018,4,48202.727070312496,47762.30980415226,48643.14433647273,3840
128,car_bev,2018,5,58593.52649878148,57775.71100304676,59411.3419945162,1231
129,car_bev,2018,6,54575.56201160542,53444.91710337781,55706.20691983303,517
130,car_bev,2019,3,43067.144739933916,42768.09116826065,43366.19831160718,8171
131,car_bev,2019,4,49295.435561163904,48950.09216174718,49640.778960580625,6736
132,car_bev,2019,5,60453.92576820129,59910.402891442944,60997.44864495964,3736
133,car_bev,2019,6,69589.0077840909,68676.48256007678,70501.53300810503,1232
134,car_bev,2019,7,63632.50371769384,62344.0679920932,64920.93944329448,503
135,car_bev,2020,3,44028.97053871211,43716.93861992203,44341.00245750218,7982
136,car_bev,2020,4,54969.85720272906,54590.50737909934,55349.207026358774,7182
137,car_bev,2020,5,59739.94113837553,59325.13969378052,60154.74258297054,6439
138,car_bev,2020,6,69863.03422784123,69249.654623689,70476.41383199346,3678
139,car_bev,2020,7,79450.53047313553,78434.78679726172,80466.27414900933,1247
140,car_bev,2020,8,73330.4969168357,71887.68364136983,74773.31019230158,493
141,car_bev,2021,3,38914.16385280073,38695.479496669985,39132.84820893148,13193
142,car_bev,2021,4,54540.5819437442,54166.84919693883,54914.31469054957,7537
143,car_bev,2021,5,64982.4358959925,64545.00311850395,65419.868673481054,7461
144,car_bev,2021,6,68086.00725237132,67613.19301094492,68558.82149379772,6431
145,car_bev,2021,7,78003.13433962263,77337.4150248108,78668.85365443445,3657
146,car_bev,2021,8,85753.9649561753,84706.39294370427,86801.53696864634,1255
147,car_bev,2021,9,78517.12735416667,76974.21758330919,80060.03712502416,480
148,car_bev,2022,3,39757.02421011503,39618.71763089627,39895.330789333784,31992
149,car_bev,2022,4,52307.159271340985,52023.375451224296,52590.94309145767,12722
150,car_bev,2022,5,67858.48296824974,67426.04764079057,68290.9182957089,7496
151,car_bev,2022,6,77223.84936767224,76712.37133102048,77735.32740432401,7591
152,car_bev,2022,7,78462.66700047311,77927.40492870355,78997.92907224268,6341
153,car_bev,2022,8,88267.96251609293,87519.77095304588,89016.15407913997,3573
154,car_bev,2022,9,94834.32777777778,93717.18319926395,95951.47235629162,1242
155,car_bev,2022,10,83554.77853131751,81965.695461926,85143.86160070902,463
156,car_bev,2023,3,42429.41704342097,42345.79908224826,42513.03500459367,94102
157,car_bev,2023,4,53515.36416472212,53333.72499586558,53697.003333578665,30427
158,car_bev,2023,5,65328.964989626555,64986.95816850384,65670.97181074927,12532
159,car_bev,2023,6,80893.04219004406,80376.06284804286,81410.02153204526,7493
160,car_bev,2023,7,89234.52408384679,88653.6843682082,89815.36379948538,7466
161,car_bev,2023,8,88546.6566449873,87941.0854546617,89152.22783531291,6304
162,car_bev,2023,9,97127.26580525415,96312.77923750125,97941.75237300705,3502
163,car_bev,2023,10,102607.09683950616,101404.10976941744,103810.08390959489,1215
164,car_bev,2023,11,90639.06011013215,88988.3302786676,92289.7899415967,454
165,car_bev,2024,3,47323.23383884069,47246.648732181995,47399.81894549939,151676
166,car_bev,2024,4,57335.19350574856,57217.993867133715,57452.39314436341,80020
