fuel,reg_year,age,emissions,std_error,n
car_hev,2011,13,42.02566971909352,0.2487958187696713,6286
car_hev,2012,0,7.572380831143504,0.009845380057781308,12943
car_hev,2012,1,10.33476417948419,0.022145801649314827,12943
car_hev,2012,2,13.097147527824877,0.03722780042205972,12943
car_hev,2012,3,15.991545816145655,0.05397030241029752,12943
car_hev,2012,4,18.67315116784198,0.067467197284001,12705
car_hev,2012,5,21.521481709105046,0.086905811238906,11116
car_hev,2012,6,24.019041686000527,0.09569220485303065,12590
car_hev,2012,7,26.69945555608777,0.1109123731497194,12490
car_hev,2012,8,28.839017925932623,0.12432681580973683,12200
car_hev,2012,9,30.913311420939817,0.13478889896240887,12559
car_hev,2012,10,33.332266043201976,0.14879704445513023,12605
car_hev,2012,11,35.112443472467326,0.15856854395939787,12313
car_hev,2012,12,36.68681339411298,0.18417792350997061,9982
car_hev,2013,0,7.637917402696715,0.008123935574632151,22469
car_hev,2013,1,10.382533591736909,0.017522426590569646,22469
car_hev,2013,2,13.127149780777104,0.02933224563051895,22469
car_hev,2013,3,15.962814031717844,0.04240645493800751,22469
car_hev,2013,4,18.598306021842998,0.056122818170469754,19262
car_hev,2013,5,21.063950139889474,0.062218800834442096,21872
car_hev,2013,6,23.575952051200126,0.07251742773040373,21824
car_hev,2013,7,25.64645366274132,0.08230808012097526,21060
car_hev,2013,8,27.59490630034101,0.08956923148216044,21800
car_hev,2013,9,29.855244751019885,0.09927516976497545,21862
car_hev,2013,10,32.143775669911044,0.10967742101433721,21794
car_hev,2013,11,33.598278578397434,0.12558354705663133,18030
car_hev,2014,0,7.627738309883242,0.007911429548584726,26093
car_hev,2014,1,10.242988924949165,0.01612327268210915,26093
car_hev,2014,2,12.858239540015088,0.026857451462038887,26093
car_hev,2014,3,15.594633418991755,0.039251322015118335,26093
car_hev,2014,4,18.078919740815383,0.0492713978958754,25549
car_hev,2014,5,20.525712909795,0.059064705584017746,25407
car_hev,2014,6,22.53903107763728,0.0680150773239528,24554
car_hev,2014,7,24.38838202604582,0.07505484397732978,25397
