,fuel,reg_year,test_year,y_mean,y_lower,y_upper,n
181,car_diesel,2014,2023,13154.033936044581,13133.199676710019,13174.868195379144,174434
182,car_diesel,2014,2024,12853.412040103201,12821.450174666052,12885.373905540351,141086
183,car_diesel,2015,2018,18827.92118286713,18802.350642202546,18853.49172353171,207741
184,car_diesel,2015,2019,17026.130753997782,17000.099757091008,17052.161750904557,196234
185,car_diesel,2015,2020,13941.12730846044,13918.95240505332,13963.30221186756,182260
186,car_diesel,2015,2021,12292.333906567008,12271.661647943587,12313.006165190429,188777
187,car_diesel,2015,2022,13869.20957822998,13847.094607975756,13891.324548484205,186642
188,car_diesel,2015,2023,13803.06889554771,13780.700655281742,13825.43713581368,181547
189,car_diesel,2015,2024,13452.984420494628,13427.520717070376,13478.448123918879,148273
190,car_diesel,2016,2019,18424.024723240345,18399.84731956671,18448.20212691398,208990
191,car_diesel,2016,2020,14431.587525788444,14408.592102546281,14454.582949030606,189329
192,car_diesel,2016,2021,12689.881917644005,12668.672950492244,12711.090884795765,192700
193,car_diesel,2016,2022,14487.700942558982,14465.053482667608,14510.348402450356,191553
194,car_diesel,2016,2023,14470.86936704514,14446.917356929456,14494.821377160823,186364
195,car_diesel,2016,2024,14114.24841885751,14080.5029787093,14147.99385900572,152491
196,car_diesel,2017,2020,17541.164610008014,17514.249598060353,17568.079621955676,157234
197,car_diesel,2017,2021,13120.739345368076,13094.56486374693,13146.913826989223,149290
198,car_diesel,2017,2022,15300.948486816553,15273.077147288053,15328.819826345052,146737
199,car_diesel,2017,2023,15349.010560381063,15320.77468296808,15377.246437794045,142760
200,car_diesel,2017,2024,14974.083258327879,14941.978568996356,15006.187947659402,114525
201,car_diesel,2018,2021,16566.550721900938,16544.08652218387,16589.014921618007,206635
202,car_diesel,2018,2022,16040.20961090434,16014.138268075101,16066.280953733578,198820
203,car_diesel,2018,2023,16113.136271924142,16087.472371737087,16138.800172111198,192995
204,car_diesel,2018,2024,15803.448405933043,15774.800459343978,15832.096352522107,159918
205,car_diesel,2019,2022,16452.435066851252,16429.723895917425,16475.14623778508,217423
206,car_diesel,2019,2023,17054.91763207524,17027.956323338116,17081.878940812367,207325
